"crust","size","value","px_inc"
"deep dish","12","14.5","0.13"
"deep dish","10"," 8.0","0.10"
"deep dish","18","16.0","0.06"
"deep dish","12","14.0","0.12"
"deep dish","14"," 9.4","0.06"
"deep dish","12","17.0","0.15"
"deep dish","16","18.0","0.09"
"deep dish","14","17.1","0.11"
"deep dish","14","21.0","0.14"
"deep dish","14","11.5","0.07"
"deep dish","10","22.1","0.28"
"deep dish"," 7","14.0","0.36"
"deep dish"," 9","14.0","0.22"
"deep dish","10","10.9","0.14"
"deep dish","16","23.0","0.11"
"deep dish","12","15.0","0.13"
"deep dish","18","13.4","0.05"
"deep dish","11","12.5","0.13"
"deep dish","14","13.0","0.08"
"deep dish","18","18.0","0.07"
"deep dish","12","18.0","0.16"
"deep dish","14","18.1","0.12"
"deep dish","18","21.0","0.08"
"deep dish","16","19.0","0.09"
"deep dish","14","15.7","0.10"
"deep dish","16","20.6","0.10"
"deep dish","24","23.0","0.05"
"deep dish","16","19.1","0.10"
"deep dish","12","14.0","0.12"
"deep dish","17","19.4","0.09"
"deep dish"," 7"," 7.0","0.18"
"deep dish","10","13.0","0.17"
"deep dish","10","17.0","0.22"
"deep dish","14","17.4","0.11"
"deep dish","12"," 9.3","0.08"
"deep dish","16","22.4","0.11"
"deep dish","18","13.4","0.05"
"deep dish","10","12.3","0.16"
"deep dish","16","19.5","0.10"
"deep dish","16","20.5","0.10"
"deep dish","16","18.0","0.09"
"deep dish"," 7"," 7.2","0.19"
"deep dish","12","13.2","0.12"
"deep dish","12","20.9","0.19"
"deep dish","12","22.7","0.20"
"deep dish","24","23.0","0.05"
"deep dish","14","13.0","0.08"
"deep dish","14","16.9","0.11"
"deep dish","14","14.4","0.09"
"deep dish","12","19.5","0.17"
"deep dish","12","17.0","0.15"
"deep dish","14"," 3.9","0.03"
"deep dish","14","15.5","0.10"
"deep dish","10","13.2","0.17"
"deep dish","12","24.8","0.22"
"deep dish","16","23.7","0.12"
"deep dish","12","15.9","0.14"
"deep dish","12","15.0","0.13"
"deep dish","10","11.0","0.14"
"deep dish","16","25.0","0.12"
"deep dish","18","23.5","0.09"
"deep dish","18","19.5","0.08"
"deep dish","12","13.0","0.11"
"deep dish","16","21.2","0.11"
"deep dish","14"," 9.4","0.06"
"deep dish","12","14.4","0.13"
"deep dish","10"," 7.0","0.09"
"deep dish","18","12.5","0.05"
"deep dish","18","13.4","0.05"
"deep dish","10","10.4","0.13"
"deep dish","12","30.9","0.27"
"deep dish","12","13.8","0.12"
"deep dish","14","17.9","0.12"
"deep dish","12","17.0","0.15"
"deep dish","16","20.0","0.10"
"deep dish","14","24.8","0.16"
"deep dish","18","17.9","0.07"
"deep dish","14","16.0","0.10"
"deep dish","16","20.0","0.10"
"deep dish","14","21.0","0.14"
"deep dish","12","14.0","0.12"
"deep dish","10","11.0","0.14"
"deep dish","14","18.0","0.12"
"deep dish","14","17.1","0.11"
"deep dish","10","11.0","0.14"
"deep dish","18","20.5","0.08"
"deep dish"," 6"," 7.0","0.25"
"deep dish","12"," 9.0","0.08"
"deep dish","12","14.5","0.13"
"deep dish","18","21.7","0.09"
"deep dish","10","10.0","0.13"
"deep dish","10","10.0","0.13"
"deep dish","18","13.9","0.05"
"deep dish","14","14.0","0.09"
"deep dish","16","17.0","0.08"
"deep dish","12","14.8","0.13"
"deep dish","14","17.0","0.11"
"deep dish","14","20.0","0.13"
"deep dish","18","19.4","0.08"
"deep dish"," 6"," 6.5","0.23"
"deep dish","18","19.5","0.08"
"deep dish","16","18.1","0.09"
"deep dish","14"," 9.4","0.06"
"deep dish","16","24.4","0.12"
"deep dish","16","19.5","0.10"
"deep dish","16","24.5","0.12"
"deep dish","14","17.9","0.12"
"deep dish","14","21.0","0.14"
"deep dish","16","19.3","0.10"
"deep dish","12","13.9","0.12"
"deep dish","16","14.0","0.07"
"deep dish","12","14.0","0.12"
"deep dish","12","13.5","0.12"
"deep dish","12","16.6","0.15"
"deep dish","12","15.7","0.14"
"deep dish","16","19.9","0.10"
"deep dish","16","13.0","0.06"
"deep dish","14","19.0","0.12"
"deep dish"," 7","10.0","0.26"
"deep dish"," 7"," 6.0","0.16"
"deep dish","10","11.5","0.15"
"deep dish","12","14.0","0.12"
"deep dish","18","19.5","0.08"
"deep dish","14","15.8","0.10"
"deep dish","16","20.5","0.10"
"deep dish","14","17.6","0.11"
"deep dish","14","17.2","0.11"
"deep dish","16","21.5","0.11"
"deep dish","18","13.4","0.05"
"deep dish","10"," 7.8","0.10"
"deep dish","16","14.0","0.07"
"deep dish","12","14.9","0.13"
"deep dish","14"," 9.4","0.06"
"deep dish","18","23.1","0.09"
"deep dish","18","27.5","0.11"
"deep dish","10","12.4","0.16"
"deep dish","12","12.5","0.11"
"deep dish","16","19.6","0.10"
"deep dish","12","15.5","0.14"
"deep dish","14","15.0","0.10"
"deep dish","12","16.8","0.15"
"deep dish","14","16.9","0.11"
"deep dish","12","13.0","0.11"
"deep dish","10","10.0","0.13"
"deep dish","16","23.0","0.11"
"deep dish","14","17.5","0.11"
"deep dish","18","22.9","0.09"
"deep dish","10","14.0","0.18"
"deep dish","16","21.0","0.10"
"deep dish","14"," 9.4","0.06"
"deep dish","14","16.2","0.11"
"deep dish","16","18.2","0.09"
"deep dish"," 8","10.9","0.22"
"deep dish","16","17.0","0.08"
"deep dish","12","15.0","0.13"
"deep dish","14","27.7","0.18"
"deep dish","12","16.0","0.14"
"deep dish","14","16.3","0.11"
"deep dish","14"," 9.4","0.06"
"deep dish","12","17.0","0.15"
"deep dish","12","13.7","0.12"
"deep dish","16","18.0","0.09"
"deep dish","18","23.9","0.09"
"deep dish","12","13.2","0.12"
"deep dish","10","19.7","0.25"
"deep dish"," 8","10.9","0.22"
"deep dish","14","12.0","0.08"
"deep dish","18","13.4","0.05"
"deep dish","14","16.0","0.10"
"deep dish","18","13.4","0.05"
"deep dish","24","21.0","0.05"
"deep dish","12","12.0","0.11"
"deep dish","16","30.0","0.15"
"deep dish","12","19.8","0.18"
"deep dish","14","16.0","0.10"
"deep dish","14","14.5","0.09"
"deep dish","14","18.8","0.12"
"deep dish","18","21.5","0.08"
"deep dish","14","13.0","0.08"
"deep dish","12","14.7","0.13"
"deep dish","14"," 8.4","0.05"
"deep dish","14","14.0","0.09"
"deep dish","16","17.8","0.09"
"deep dish","12","16.5","0.15"
"deep dish","10","15.2","0.19"
"deep dish","10","12.0","0.15"
"deep dish","14","13.2","0.09"
"deep dish","12","18.0","0.16"
"deep dish","18","22.0","0.09"
"deep dish","14","21.5","0.14"
"deep dish","14"," 9.4","0.06"
"deep dish","18","13.4","0.05"
"deep dish","12","16.8","0.15"
"deep dish","18","13.4","0.05"
"deep dish","14","11.5","0.07"
"deep dish","14"," 9.4","0.06"
"deep dish","14","17.8","0.12"
"deep dish","10","13.5","0.17"
"deep dish","14","18.9","0.12"
"deep dish","24","30.1","0.07"
"deep dish","14","17.9","0.12"
"deep dish","14","18.0","0.12"
"deep dish","14","17.5","0.11"
"deep dish","14","14.5","0.09"
"deep dish","12","19.1","0.17"
"deep dish","24","23.0","0.05"
"deep dish","12","12.0","0.11"
"deep dish","10","14.0","0.18"
"deep dish","14","19.3","0.13"
"deep dish","14","20.0","0.13"
"deep dish","12","16.6","0.15"
"deep dish","14","15.2","0.10"
"deep dish","14","18.0","0.12"
"deep dish","14","19.5","0.13"
"deep dish","14","15.0","0.10"
"deep dish","10","13.7","0.17"
"deep dish","14","18.9","0.12"
"deep dish","16","14.0","0.07"
"deep dish","12","20.9","0.19"
"deep dish","12","14.2","0.13"
"deep dish","18","18.6","0.07"
"deep dish","12","13.2","0.12"
"deep dish","16","18.5","0.09"
"deep dish","16","18.0","0.09"
"deep dish","14","16.0","0.10"
"deep dish","12","17.9","0.16"
"deep dish","10","11.6","0.15"
"deep dish","14","18.8","0.12"
"deep dish","12","14.0","0.12"
"deep dish","12","15.8","0.14"
"deep dish","16","23.0","0.11"
"deep dish","12","15.0","0.13"
"deep dish","14"," 9.5","0.06"
"deep dish","12","14.5","0.13"
"deep dish","12","12.4","0.11"
"deep dish","14","18.0","0.12"
"deep dish","16","16.2","0.08"
"deep dish","14","18.2","0.12"
"deep dish","16","26.9","0.13"
"deep dish","14","18.7","0.12"
"deep dish","14","14.4","0.09"
"deep dish","16","18.0","0.09"
"deep dish","18","13.4","0.05"
"deep dish"," 9","10.5","0.17"
"deep dish","14","17.2","0.11"
"deep dish","16","17.7","0.09"
"deep dish","14","17.8","0.12"
"deep dish","14"," 8.4","0.05"
"deep dish","12","18.0","0.16"
"deep dish","16","20.0","0.10"
"deep dish","16","26.9","0.13"
"deep dish","14","20.8","0.14"
"deep dish"," 8"," 6.0","0.12"
"deep dish","14","16.1","0.10"
"deep dish","14","21.4","0.14"
"deep dish","10","14.5","0.18"
"deep dish","14","12.5","0.08"
"deep dish","12","14.9","0.13"
"deep dish","12","14.7","0.13"
"deep dish","10"," 9.5","0.12"
"deep dish","14","14.7","0.10"
"deep dish","14","16.0","0.10"
"deep dish","14"," 7.4","0.05"
"deep dish","14"," 5.2","0.03"
"deep dish","14","15.9","0.10"
"deep dish","14","18.0","0.12"
"deep dish","12","13.9","0.12"
"deep dish","14","18.0","0.12"
"deep dish","18","13.4","0.05"
"deep dish","10","10.7","0.14"
"deep dish","12","12.9","0.11"
"deep dish","16","18.0","0.09"
"deep dish","18","22.0","0.09"
"deep dish","14","18.9","0.12"
"deep dish","14"," 9.4","0.06"
"deep dish","14","17.0","0.11"
"deep dish","12","12.4","0.11"
"deep dish","10","10.9","0.14"
"deep dish","17","17.2","0.08"
"deep dish","10","21.5","0.27"
"deep dish","12","13.9","0.12"
"deep dish","10","14.0","0.18"
"deep dish","14"," 9.9","0.06"
"deep dish","12","18.0","0.16"
"deep dish","16","21.5","0.11"
"deep dish","18","20.8","0.08"
"deep dish","10","12.0","0.15"
"deep dish","12","17.9","0.16"
"deep dish","14","19.5","0.13"
"deep dish","16","19.7","0.10"
"deep dish","10","17.0","0.22"
"deep dish","12","21.6","0.19"
"deep dish","14","17.4","0.11"
"deep dish","12","17.5","0.15"
"deep dish","14","16.5","0.11"
"deep dish"," 8","11.2","0.22"
"deep dish","16","21.6","0.11"
"deep dish","13","14.8","0.11"
"deep dish","14","16.5","0.11"
"deep dish","12","11.4","0.10"
"deep dish","12","22.1","0.20"
"deep dish","12","14.5","0.13"
"deep dish","12","16.7","0.15"
"deep dish","14","17.9","0.12"
"deep dish","12","10.0","0.09"
"deep dish","24","30.0","0.07"
"deep dish","16","23.9","0.12"
"deep dish","12","20.2","0.18"
"deep dish"," 8"," 4.0","0.08"
"deep dish","12","14.9","0.13"
"deep dish","18","13.9","0.05"
"deep dish","16","16.5","0.08"
"deep dish","10","10.9","0.14"
"deep dish","18","21.0","0.08"
"deep dish","12","11.2","0.10"
"deep dish","14","16.5","0.11"
"deep dish","10","12.3","0.16"
"deep dish","18","22.2","0.09"
"deep dish","12","15.7","0.14"
"deep dish","12"," 3.0","0.03"
"deep dish","14","18.1","0.12"
"deep dish","16","19.8","0.10"
"deep dish","16","19.8","0.10"
"deep dish","12","11.5","0.10"
"deep dish","12","12.0","0.11"
"deep dish","18","20.0","0.08"
"deep dish","16","18.4","0.09"
"deep dish","14","11.0","0.07"
"deep dish","12","18.0","0.16"
"deep dish","16","26.9","0.13"
"deep dish","16","14.7","0.07"
"deep dish","10","13.2","0.17"
"deep dish","16","20.5","0.10"
"deep dish","12","13.0","0.11"
"deep dish","12","18.0","0.16"
"deep dish","10"," 6.5","0.08"
"deep dish","10","11.0","0.14"
"deep dish"," 8","14.0","0.28"
"deep dish","12","18.0","0.16"
"deep dish","16","18.5","0.09"
"deep dish","12","19.0","0.17"
"deep dish","15","27.0","0.15"
"deep dish"," 8"," 4.0","0.08"
"deep dish","12","15.5","0.14"
"deep dish","14","21.3","0.14"
"deep dish"," 9","10.0","0.16"
"deep dish","12","14.0","0.12"
"deep dish","12","13.2","0.12"
"deep dish","18","20.5","0.08"
"deep dish","12","14.7","0.13"
"deep dish","14"," 9.4","0.06"
"deep dish","14"," 9.4","0.06"
"deep dish","10"," 9.1","0.12"
"deep dish","18","20.6","0.08"
"deep dish","14","18.8","0.12"
"deep dish","16","23.0","0.11"
"deep dish","12","16.2","0.14"
"deep dish","16","19.0","0.09"
"deep dish","18","16.0","0.06"
"deep dish","18","13.4","0.05"
"deep dish","10","13.0","0.17"
"deep dish","18","13.4","0.05"
"deep dish","14","14.4","0.09"
"deep dish"," 8","10.9","0.22"
"deep dish","18","13.4","0.05"
"deep dish","14","15.5","0.10"
"deep dish","16","17.0","0.08"
"deep dish","12","13.0","0.11"
"deep dish","16","23.0","0.11"
"deep dish","14","24.0","0.16"
"deep dish","14","16.5","0.11"
"deep dish","12","13.5","0.12"
"deep dish","18","34.0","0.13"
"deep dish","14","14.4","0.09"
"deep dish","24","21.0","0.05"
"deep dish","14","14.4","0.09"
"deep dish","14","12.0","0.08"
"deep dish","18","22.0","0.09"
"deep dish","16","18.5","0.09"
"deep dish","12","14.9","0.13"
"deep dish","18","12.5","0.05"
"deep dish","16","19.0","0.09"
"deep dish","16","20.4","0.10"
"deep dish","12","14.5","0.13"
"deep dish","10","12.0","0.15"
"deep dish","18","13.4","0.05"
"deep dish","16","29.7","0.15"
"deep dish"," 8"," 8.0","0.16"
"deep dish","10","12.9","0.16"
"deep dish","14","15.7","0.10"
"deep dish","12","11.2","0.10"
"deep dish","12","14.0","0.12"
"deep dish","10","13.0","0.17"
"deep dish","12","11.5","0.10"
"deep dish","12","17.0","0.15"
"deep dish","10","14.0","0.18"
"deep dish","10","10.7","0.14"
"deep dish","12","14.2","0.13"
"deep dish","16","12.9","0.06"
"deep dish","18","13.4","0.05"
"deep dish","14","16.7","0.11"
"deep dish","14"," 9.4","0.06"
"deep dish","14"," 9.4","0.06"
"deep dish","18","25.0","0.10"
"deep dish","14","16.0","0.10"
"deep dish","14"," 9.4","0.06"
"deep dish","12","12.8","0.11"
"deep dish","10","12.3","0.16"
"deep dish","14","20.6","0.13"
"deep dish","14","19.0","0.12"
"deep dish","12","14.0","0.12"
"deep dish","24","23.0","0.05"
"deep dish","14","14.4","0.09"
"deep dish","14","11.5","0.07"
"deep dish","24","23.0","0.05"
"deep dish","10","12.3","0.16"
"deep dish","18","12.5","0.05"
"deep dish","12","13.0","0.11"
"deep dish"," 8"," 6.0","0.12"
"deep dish","14","17.9","0.12"
"deep dish","14","19.8","0.13"
"deep dish","16","18.5","0.09"
"deep dish"," 7"," 6.0","0.16"
"deep dish","16","23.8","0.12"
"deep dish","12","16.0","0.14"
"deep dish","10","13.0","0.17"
"deep dish","14","12.0","0.08"
"deep dish","12","13.2","0.12"
"deep dish","14"," 9.4","0.06"
"deep dish","10","11.5","0.15"
"deep dish"," 8"," 6.0","0.12"
"deep dish","16","14.9","0.07"
"deep dish","12","14.0","0.12"
"deep dish","12","15.6","0.14"
"deep dish","14"," 8.4","0.05"
"deep dish","18","19.4","0.08"
"deep dish","14","11.5","0.07"
"deep dish","10","13.9","0.18"
"deep dish","18","12.5","0.05"
"deep dish","12","15.0","0.13"
"deep dish","14"," 1.8","0.01"
"deep dish","10"," 9.0","0.11"
"deep dish","12","12.0","0.11"
"deep dish","15","25.5","0.14"
"deep dish","12","18.6","0.16"
"deep dish","14","14.0","0.09"
"deep dish","14"," 9.9","0.06"
